saptamana,zona,produs,pret_lei,variatie_procente
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1133,4.71
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,GRAU FURAJER (lei/tona),1072,-2.46
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,PORUMB (lei/tona),966,-3.59
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1034,-2.82
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,GRAU FURAJER (lei/tona),1014,1.2
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,PORUMB (lei/tona),979,-4.58
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1064,-4.83
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,PORUMB (lei/tona),996,-1.87
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,ORZ FURAJER (lei/tona),1010,3.91
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,FLOAREA SOARELUI (lei/tona),2645,-0.41
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,RAPITA (lei/tona),2646,-0.41
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,ORZ FURAJER (lei/tona),1100,17.02
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,FLOAREA SOARELUI (lei/tona),2827,3.55
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,FLOAREA SOARELUI (lei/tona),2420,4.72
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,RAPITA (lei/tona),2357,1.07
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1070,1.71
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,GRAU FURAJER (lei/tona),1042,1.56
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,PORUMB (lei/tona),991,1.02
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1082,1.31
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,GRAU FURAJER (lei/tona),1099,0.55
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,PORUMB (lei/tona),1002,2.77
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1064,-2.3
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,GRAU FURAJER (lei/tona),1002,-4.11
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,PORUMB (lei/tona),1026,2.81
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1118,-5.33
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,PORUMB (lei/tona),1015,-1.17
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,ORZ FURAJER (lei/tona),972,19.26
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,FLOAREA SOARELUI (lei/tona),2656,-0.11
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,RAPITA (lei/tona),2657,20.94
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,ORZ FURAJER (lei/tona),940,2.51
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,FLOAREA SOARELUI (lei/tona),2730,2.94
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,ORZ FURAJER (lei/tona),961,-3.9
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,FLOAREA SOARELUI (lei/tona),2311,1.32
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,RAPITA (lei/tona),2332,-1.14
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 10/2025 (Saptamana 06 - 12 martie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1052,-2.59
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,GRAU FURAJER (lei/tona),1026,-2.56
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,PORUMB (lei/tona),981,7.21
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1068,-4.98
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,PORUMB (lei/tona),975,-1.42
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1089,1.59
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,GRAU FURAJER (lei/tona),1045,-0.76
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,PORUMB (lei/tona),998,0.71
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1181,1.9
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,PORUMB (lei/tona),1027,-8.95
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,ORZ FURAJER (lei/tona),815,-10.83
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,FLOAREA SOARELUI (lei/tona),2659,-1.52
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,RAPITA (lei/tona),2197,-10.58
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,ORZ FURAJER (lei/tona),917,-6.14
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,FLOAREA SOARELUI (lei/tona),2652,-1.78
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,FLOAREA SOARELUI (lei/tona),2281,-6.05
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,RAPITA (lei/tona),2359,14.51
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 09/2025 (Saptamana 27 februarie - 05 martie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1080,1.41
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,GRAU FURAJER (lei/tona),1053,1.45
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,PORUMB (lei/tona),915,-4.19
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1124,0.18
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,GRAU FURAJER (lei/tona),1093,5.6
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,PORUMB (lei/tona),989,2.81
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1072,1.61
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,GRAU FURAJER (lei/tona),1053,14.71
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,PORUMB (lei/tona),991,2.16
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1159,-0.6
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,PORUMB (lei/tona),1128,0.09
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,ORZ FURAJER (lei/tona),914,-6.92
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,FLOAREA SOARELUI (lei/tona),2700,-0.55
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,ORZ FURAJER (lei/tona),977,15.9
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,FLOAREA SOARELUI (lei/tona),2700,-1.35
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,FLOAREA SOARELUI (lei/tona),2428,-11.71
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,RAPITA (lei/tona),2363,-3.86
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 08/2025 (Saptamana 20 - 26 februarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1065,-1.75
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,GRAU FURAJER (lei/tona),1038,0.97
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,PORUMB (lei/tona),955,7.06
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1122,2.94
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,GRAU FURAJER (lei/tona),1035,3.29
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,PORUMB (lei/tona),962,-3.7
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1055,0.29
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,GRAU FURAJER (lei/tona),918,-6.71
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,PORUMB (lei/tona),970,-0.72
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1166,-0.09
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,PORUMB (lei/tona),1127,5.33
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,ORZ (lei/tona),1070,-1.29
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,ORZ FURAJER (lei/tona),982,-1.5
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,FLOAREA SOARELUI (lei/tona),2715,0.04
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,ORZ FURAJER (lei/tona),843,-11.64
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,FLOAREA SOARELUI (lei/tona),2737,-1.69
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,ORZ FURAJER (lei/tona),1000,11.98
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,FLOAREA SOARELUI (lei/tona),2750,5.77
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,RAPITA (lei/tona),2458,2.97
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 07/2025 (Saptamana 13 - 19 februarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1084,2.85
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,GRAU FURAJER (lei/tona),1028,1.98
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,PORUMB (lei/tona),892,-0.45
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1090,-0.64
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,GRAU FURAJER (lei/tona),1002,-3.65
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,PORUMB (lei/tona),999,6.5
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1052,0.86
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,GRAU FURAJER (lei/tona),984,3.14
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,PORUMB (lei/tona),977,-0.31
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,PORUMB (lei/tona),1070,2.2
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,ORZ FURAJER (lei/tona),997,1.53
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,FLOAREA SOARELUI (lei/tona),2714,2.57
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,RAPITA (lei/tona),2457,-4.88
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,ORZ FURAJER (lei/tona),954,-8
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,FLOAREA SOARELUI (lei/tona),2784,1.24
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,ORZ FURAJER (lei/tona),893,-10.97
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,FLOAREA SOARELUI (lei/tona),2600,-8.77
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,RAPITA (lei/tona),2387,12.38
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 06/2025 (Saptamana 06 - 12 februarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1054,5.72
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,GRAU FURAJER (lei/tona),1008,-0.59
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,PORUMB (lei/tona),896,4.8
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1097,-0.45
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,GRAU FURAJER (lei/tona),1040,4.94
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,PORUMB (lei/tona),938,-2.39
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1043,8.08
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,GRAU FURAJER (lei/tona),954,-4.02
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,PORUMB (lei/tona),980,1.45
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1167,3.73
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,PORUMB (lei/tona),1047,-3.68
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,ORZ (lei/tona),1084,0.28
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,ORZ FURAJER (lei/tona),982,3.37
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,FLOAREA SOARELUI (lei/tona),2646,-6.3
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,RAPITA (lei/tona),2583,3.32
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,ORZ FURAJER (lei/tona),1037,5.6
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,FLOAREA SOARELUI (lei/tona),2750,0.4
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,RAPITA (lei/tona),2060,-22.53
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,ORZ FURAJER (lei/tona),1003,14.63
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,FLOAREA SOARELUI (lei/tona),2850,6.03
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,RAPITA (lei/tona),2124,-13.13
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 05/2025 (Saptamana 30 ianuarie - 05 februarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),997,1.73
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,GRAU FURAJER (lei/tona),1014,2.01
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,PORUMB (lei/tona),855,-6.15
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1102,2.7
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,GRAU FURAJER (lei/tona),991,0.1
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,PORUMB (lei/tona),961,1.91
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),965,4.32
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,GRAU FURAJER (lei/tona),994,10.08
