saptamana,zona,produs,pret_lei,variatie_procente
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,PORUMB (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,ORZ FURAJER (lei/tona),1057,-3.91
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,FLOAREA SOARELUI (lei/tona),2645,4.13
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,ORZ FURAJER (lei/tona),969,-6.83
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,FLOAREA SOARELUI (lei/tona),2416,-14.69
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,ORZ FURAJER (lei/tona),1019,-1.74
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,FLOAREA SOARELUI (lei/tona),2406,10.37
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,RAPITA (lei/tona),2459,11.02
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1029,-9.1
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,GRAU FURAJER (lei/tona),953,-3.25
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,PORUMB (lei/tona),988,-2.95
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1115,1.55
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,PORUMB (lei/tona),1068,1.52
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1076,-0.37
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,PORUMB (lei/tona),1171,7.83
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1074,-1.56
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,PORUMB (lei/tona),1060,1.24
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,ORZ (lei/tona),980,-9.01
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,ORZ FURAJER (lei/tona),1100,8.37
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,FLOAREA SOARELUI (lei/tona),2540,1.8
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,FLOAREA SOARELUI (lei/tona),2832,14.98
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,ORZ FURAJER (lei/tona),1037,-0.29
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,FLOAREA SOARELUI (lei/tona),2180,-8.33
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,RAPITA (lei/tona),2215,-9.89
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 16/2025 (Saptamana 17 - 23 aprilie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1132,6.59
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,GRAU FURAJER (lei/tona),985,-2.18
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,PORUMB (lei/tona),1018,4.09
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1098,1.39
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,GRAU FURAJER (lei/tona),1022,-1.16
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,PORUMB (lei/tona),1052,3.44
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1080,0.09
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,GRAU FURAJER (lei/tona),1050,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,PORUMB (lei/tona),1086,5.23
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,ORZ (lei/tona),-,0
